z_score,probability,probability_2
-4.31,0.996987005,0.009457977
-4.3,0.99688983,0.009717479
-4.29,0.996790002,0.009982801
-4.28,0.996687462,0.010254037
-4.27,0.996582149,0.010531283
-4.26,0.996474003,0.010814632
-4.25,0.996362961,0.011104181
-4.24,0.996248961,0.011400026
-4.23,0.996131938,0.011702263
-4.22,0.996011829,0.012010989
-4.21,0.995888566,0.012326301
-4.2,0.995762083,0.012648298
-4.19,0.995632312,0.012977076
-4.18,0.995499185,0.013312735
-4.17,0.995362631,0.013655372
-4.16,0.99522258,0.014005087
-4.15,0.99507896,0.014361978
-4.14,0.994931699,0.014726145
-4.13,0.994780722,0.015097686
-4.12,0.994625955,0.015476701
-4.11,0.994467322,0.015863289
-4.1,0.994304747,0.016257549
-4.09,0.994138151,0.016659582
-4.08,0.993967456,0.017069486
-4.07,0.993792583,0.01748736
-4.06,0.99361345,0.017913303
-4.05,0.993429976,0.018347415
-4.04,0.993242078,0.018789793
-4.03,0.993049672,0.019240537
-4.02,0.992852675,0.019699744
-4.01,0.992651,0.020167512
-4,0.992444561,0.020643938
-3.99,0.99223327,0.02112912
-3.98,0.992017038,0.021623154
-3.97,0.991795777,0.022126135
-3.96,0.991569395,0.022638159
-3.95,0.991337802,0.023159322
-3.94,0.991100905,0.023689716
-3.93,0.990858611,0.024229436
-3.92,0.990610825,0.024778574
-3.91,0.990357453,0.025337221
-3.9,0.990098398,0.02590547
-3.89,0.989833564,0.026483409
-3.88,0.989562853,0.027071129
-3.87,0.989286166,0.027668717
-3.86,0.989003403,0.028276261
-3.85,0.988714465,0.028893846
-3.84,0.988419249,0.029521558
-3.83,0.988117655,0.03015948
-3.82,0.987809578,0.030807694
-3.81,0.987494915,0.031466282
-3.8,0.987173562,0.032135323
-3.79,0.986845413,0.032814897
-3.78,0.986510362,0.033505079
-3.77,0.986168303,0.034205946
-3.76,0.985819127,0.034917571
-3.75,0.985462727,0.035640027
-3.74,0.985098994,0.036373383
-3.73,0.984727817,0.03711771
-3.72,0.984349086,0.037873074
-3.71,0.983962691,0.03863954
-3.7,0.983568519,0.039417172
-3.69,0.983166459,0.040206032
-3.68,0.982756397,0.041006179
-3.67,0.982338221,0.04181767
-3.66,0.981911815,0.042640562
-3.65,0.981477066,0.043474907
-3.64,0.981033859,0.044320756
